,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr), ,Turnover (â‚¹ Cr),CPR,CPRh,CPRl,R1,R2,R3,S1,S2,S3,CPRWidth,crossed,worked
37,04-JAN-2016,7924.55,7937.55,7781.1,7791.3,138864905.0,5897.08,,,7948.0,7955.5,7940.5,7987.0,8011.0,8050.0,7924.0,7885.0,7861.0,0.1887267237040765,RS3,Y
38,05-JAN-2016,7828.4,7831.2,7763.25,7784.65,149672973.0,5948.51,,,7836.333333333333,7813.666666666666,7859.0,7891.666666666666,7992.333333333333,8047.666666666666,7735.666666666666,7680.333333333333,7579.666666666666,0.5785018503551909,RS,Y
39,06-JAN-2016,7788.05,7800.95,7721.2,7741.0,151715828.0,6722.17,,,7792.666666666667,7788.333333333334,7797.0,7822.333333333334,7860.666666666667,7890.333333333334,7754.333333333334,7724.666666666667,7686.333333333334,0.11121567285481299,RS2,Y
40,07-JAN-2016,7673.35,7674.95,7556.6,7568.3,194732861.0,7803.21,,,7754.0,7747.5,7760.5,7787.0,7833.0,7866.0,7708.0,7675.0,7629.0,0.16765540366262574,RS3,Y
41,08-JAN-2016,7611.65,7634.1,7581.05,7601.35,162348690.0,6753.57,,,7599.333333333333,7583.666666666666,7615.0,7642.666666666666,7717.333333333333,7760.666666666666,7524.666666666666,7481.333333333333,7406.666666666666,0.4123168699008765,RS,Y
42,11-JAN-2016,7527.45,7605.1,7494.35,7563.85,194836791.0,7327.15,,,7605.333333333333,7603.166666666666,7607.5,7629.666666666666,7658.333333333333,7682.666666666666,7576.666666666666,7552.333333333333,7523.666666666666,0.05697755960730111,RS3,Y
43,12-JAN-2016,7587.2,7588.3,7487.8,7510.3,168975973.0,7071.48,,,7554.0,7558.5,7549.5,7614.0,7665.0,7725.0,7503.0,7443.0,7392.0,0.11914217633042098,RS1,N
44,13-JAN-2016,7557.9,7590.95,7425.8,7562.4,221908258.0,9585.17,,,7528.333333333333,7519.166666666666,7537.5,7569.666666666666,7629.333333333333,7670.666666666666,7468.666666666666,7427.333333333333,7367.666666666666,0.2435244631392598,R1S2,Y
45,14-JAN-2016,7467.4,7604.8,7443.8,7536.8,206988549.0,9246.75,,,7525.666666666667,7543.833333333334,7507.5,7626.333333333334,7690.666666666667,7791.333333333334,7461.333333333334,7360.666666666667,7296.333333333334,0.48279222217301593,RS1,Y
46,15-JAN-2016,7561.65,7566.5,7427.3,7437.8,203643071.0,8279.07,,,7527.666666666667,7531.833333333334,7523.5,7612.333333333334,7688.666666666667,7773.333333333334,7451.333333333334,7366.666666666667,7290.333333333334,0.1107027409998752,RS1,N
